date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,-7,-7,-13,-14,-14,6,-10,-10,6,224,1028,7,0.1,0.0,8.2,-16,60,1,49019
2019-01-02,-6,-6,-16,-12,-12,6,-11,-10,2,209,1032,6,0.0,0.0,9.7,-16,70,2,49019
2019-01-03,-4,-4,-15,-11,-11,6,-10,-9,2,218,1030,7,0.0,0.0,9.7,-14,72,2,49019
2019-01-04,-2,-2,-13,-8,-8,6,-7,-7,2,248,1026,5,0.0,0.0,9.7,-12,74,2,49019
2019-01-05,-2,-2,-13,-7,-7,6,-6,-6,2,268,1023,3,0.3,0.0,9.7,-10,77,2,49019
2019-01-06,-1,-1,-5,-5,-5,2,-3,-3,4,197,1015,6,19.1,14.8,4.9,-4,95,1,49019
2019-01-07,1,1,-5,-5,-5,4,-2,-2,5,193,1022,11,0.8,0.6,8.2,-4,92,1,49019
2019-01-08,1,1,-9,-5,-5,6,-4,-4,2,279,1030,3,0.0,0.0,9.8,-6,93,2,49019
2019-01-09,0,0,-9,-5,-5,6,-4,-4,2,292,1029,3,0.0,0.0,9.8,-6,93,2,49019
2019-01-10,0,0,-8,-5,-5,6,-4,-4,2,284,1024,3,0.0,0.0,9.8,-5,94,2,49019
2019-01-11,0,0,-9,-5,-5,6,-4,-4,2,214,1023,3,0.0,0.0,9.8,-6,92,2,49019
2019-01-12,0,0,-11,-6,-6,6,-5,-5,2,203,1026,3,0.0,0.0,9.8,-7,88,2,49019
2019-01-13,-1,-1,-8,-6,-6,6,-5,-4,3,71,1027,5,0.0,0.0,9.8,-7,83,2,49019
2019-01-14,-1,-1,-9,-6,-6,6,-5,-5,2,266,1029,4,0.0,0.0,9.8,-8,82,2,49019
2019-01-15,-2,-2,-6,-5,-5,4,-4,-4,3,249,1024,5,7.3,5.5,4.9,-5,93,1,49019
2019-01-16,0,0,-3,-3,-3,2,-1,-2,3,234,1022,3,7.2,6.1,6.6,-1,100,1,49019
2019-01-17,0,0,-4,-4,-4,5,-2,-2,4,112,1020,6,4.9,0.0,4.9,-2,96,1,49019
2019-01-18,1,1,-3,-5,-5,5,-1,-1,8,265,1019,11,3.5,1.2,9.9,-3,87,2,49019
2019-01-19,1,1,-7,-4,-4,6,-3,-3,2,299,1031,3,0.0,0.0,9.9,-7,78,2,49019
2019-01-20,1,1,-6,-4,-4,6,-3,-3,3,177,1024,5,0.0,0.0,9.9,-5,86,2,49019
2019-01-21,2,2,-7,-7,-7,4,-2,-2,11,212,1006,22,2.0,1.2,8.3,-5,83,1,49019
2019-01-22,-1,-1,-6,-7,-7,5,-3,-4,6,110,1025,9,1.7,1.4,10.0,-8,70,2,49019
2019-01-23,-2,-2,-10,-6,-6,6,-5,-5,3,240,1030,5,0.0,0.0,10.0,-10,71,2,49019
2019-01-24,0,0,-9,-5,-5,6,-4,-4,3,212,1028,4,0.0,0.0,10.0,-8,77,2,49019
2019-01-25,-1,-1,-7,-5,-5,6,-4,-4,2,174,1029,3,0.0,0.0,10.0,-7,80,1,49019
