date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-03-03,23,23,18,20,20,5,20,21,7,268,1012,11,9.4,0.0,5.9,18,91,5,28077
2020-03-04,18,18,11,14,14,3,15,15,10,35,1013,16,54.0,0.0,5.9,14,95,4,28077
2020-03-05,16,16,10,11,11,5,12,13,9,242,1017,14,13.4,0.0,5.9,10,88,3,28077
2020-03-06,15,15,7,9,9,6,10,12,9,233,1029,14,0.0,0.0,11.6,4,66,4,28077
2020-03-07,15,15,3,8,8,6,9,10,5,77,1032,9,0.0,0.0,8.8,2,66,2,28077
2020-03-08,20,20,5,11,11,6,13,14,6,151,1030,10,0.0,0.0,11.6,7,72,4,28077
2020-03-09,22,22,10,15,15,4,17,18,10,166,1027,16,2.1,0.0,7.4,13,83,4,28077
2020-03-10,23,23,15,18,18,4,18,19,6,212,1024,10,10.7,0.0,6.0,16,91,4,28077
2020-03-11,24,24,15,19,19,3,19,21,6,230,1019,10,0.5,0.0,7.4,17,87,5,28077
2020-03-12,26,26,15,20,20,4,20,21,7,207,1015,12,0.0,0.0,10.2,16,82,6,28077
2020-03-13,26,26,16,20,20,3,21,22,4,228,1019,7,1.0,0.0,6.0,17,86,5,28077
2020-03-14,26,26,16,21,21,4,21,22,5,187,1023,8,0.4,0.0,10.2,17,83,5,28077
2020-03-15,25,25,17,20,22,4,22,22,5,338,1024,7,0.4,0.0,10.2,17,85,5,28077
2020-03-16,25,25,14,18,18,6,19,20,4,112,1023,5,1.3,0.0,7.4,15,83,4,28077
2020-03-17,27,27,17,21,22,3,22,23,3,127,1021,5,7.0,0.0,10.2,18,86,5,28077
2020-03-18,26,26,17,21,22,3,22,22,7,177,1020,11,0.7,0.0,8.8,18,86,5,28077
2020-03-19,27,27,18,22,23,3,23,24,8,191,1020,13,1.1,0.0,6.0,19,86,5,28077
2020-03-20,25,25,18,21,22,4,22,23,7,247,1023,12,17.1,0.0,6.0,19,92,5,28077
2020-03-21,20,20,13,16,16,4,17,18,6,22,1026,8,2.2,0.0,6.1,14,86,4,28077
2020-03-22,22,22,11,16,16,4,16,17,5,127,1022,7,40.5,0.0,6.1,15,91,4,28077
2020-03-23,27,27,18,21,22,3,22,23,6,233,1019,8,0.6,0.0,7.5,19,86,5,28077
2020-03-24,27,27,17,21,22,3,22,23,9,212,1014,13,0.2,0.0,8.9,18,84,5,28077
2020-03-25,26,26,18,21,22,4,22,22,4,328,1013,6,0.1,0.0,8.9,17,85,5,28077
2020-03-26,29,29,16,22,24,5,24,24,6,190,1014,10,0.0,0.0,11.6,17,77,6,28077
2020-03-27,29,29,18,23,24,4,24,24,7,197,1012,12,0.0,0.0,10.3,19,82,5,28077
2020-03-28,30,30,19,24,25,6,25,26,10,196,1012,15,0.1,0.0,10.3,20,79,6,28077
2020-03-29,25,25,16,20,20,6,22,21,5,25,1019,7,2.3,0.0,10.3,13,69,5,28077
2020-03-30,22,22,15,18,18,6,19,19,6,86,1019,11,0.0,0.0,6.3,10,58,4,28077
2020-03-31,21,21,10,16,16,5,17,18,10,319,1011,16,8.7,0.0,7.7,13,82,4,28077
2020-04-01,22,22,8,15,15,6,16,17,4,230,1017,7,0.0,0.0,11.6,9,71,5,28077
2020-04-02,23,23,10,16,16,6,16,18,4,129,1017,6,0.0,0.0,11.6,10,70,5,28077
2020-04-03,25,25,14,18,18,6,18,19,3,100,1016,5,0.0,0.0,11.6,12,69,5,28077
2020-04-04,25,25,15,18,18,6,19,20,4,138,1016,7,0.1,0.0,10.3,14,79,6,28077
2020-04-05,27,27,15,20,21,6,21,22,3,56,1018,5,1.3,0.0,9.0,15,78,5,28077
2020-04-06,27,27,15,20,21,4,21,23,4,179,1017,6,0.0,0.0,11.6,16,78,6,28077
2020-04-07,26,26,17,21,23,3,23,23,5,215,1015,9,7.7,0.0,6.4,20,92,5,28077
2020-04-08,26,26,20,23,24,3,24,24,7,243,1011,11,8.7,0.0,7.7,21,92,5,28077
2020-04-09,27,27,18,23,24,5,24,24,7,32,1011,12,1.5,0.0,10.3,19,82,5,28077
2020-04-10,19,19,11,15,15,5,15,16,6,23,1017,9,1.4,0.0,9.0,8,64,4,28077
2020-04-11,23,23,7,14,14,6,15,17,6,146,1016,9,0.0,0.0,11.6,7,62,5,28077
2020-04-12,30,30,15,22,23,4,23,25,13,186,1005,22,22.4,0.0,6.5,20,88,5,28077
2020-04-13,18,18,12,14,14,4,15,15,7,336,1015,10,4.3,0.0,9.0,11,83,3,28077
2020-04-14,19,19,6,10,10,6,11,14,7,11,1019,10,0.0,0.0,11.6,6,73,4,28077
2020-04-15,18,18,5,10,10,6,12,12,7,29,1021,10,0.0,0.0,11.6,2,62,4,28077
2020-04-16,21,21,5,12,12,6,14,15,6,110,1023,9,0.0,0.0,11.6,4,58,5,28077
2020-04-17,25,25,9,16,16,5,17,19,6,198,1019,9,0.2,0.0,9.1,12,73,4,28077
2020-04-18,26,26,14,19,19,5,21,20,4,121,1016,6,2.9,0.0,11.6,16,84,4,28077
2020-04-19,25,25,18,22,23,4,23,24,7,210,1007,13,42.0,0.0,6.5,20,92,5,28077
2020-04-20,23,23,12,17,17,4,18,19,5,321,1010,7,18.9,0.0,11.6,14,84,5,28077
2020-04-21,26,26,12,19,19,4,20,21,4,345,1016,6,0.0,0.0,11.6,13,75,6,28077
2020-04-22,26,26,13,18,18,5,20,21,9,139,1014,15,0.3,0.0,10.3,13,68,6,28077
2020-04-23,28,28,16,23,25,5,25,25,12,249,1005,20,30.6,0.0,6.6,19,81,6,28077
2020-04-24,28,28,13,20,22,5,22,22,3,133,1010,5,0.0,0.0,11.6,13,72,6,28077
2020-04-25,24,24,15,19,19,6,19,21,7,283,1012,11,0.0,0.0,11.6,14,74,6,28077
2020-04-26,23,23,12,17,17,6,17,19,6,341,1021,9,0.0,0.0,11.6,11,70,5,28077
2020-04-27,24,24,10,16,16,6,16,19,5,128,1023,8,0.0,0.0,11.6,8,62,5,28077
2020-04-28,27,27,12,19,19,6,19,21,8,189,1018,12,0.4,0.0,11.6,12,67,6,28077
2020-04-29,24,24,16,20,20,5,21,22,10,291,1011,16,21.9,0.0,6.6,15,78,5,28077
2020-04-30,22,22,11,16,16,6,17,18,7,318,1016,10,0.0,0.0,11.6,10,69,5,28077
2020-05-01,26,26,12,18,18,6,19,21,4,205,1019,6,0.0,0.0,11.6,11,67,6,28077
2020-05-02,27,27,13,20,22,6,22,22,6,190,1019,9,0.0,0.0,10.4,13,68,5,28077
2020-05-03,29,29,15,21,22,4,22,24,6,204,1017,10,0.0,0.0,11.6,16,78,6,28077
2020-05-04,29,29,16,22,23,3,23,25,6,205,1014,9,0.0,0.0,11.6,18,78,6,28077
2020-05-05,29,29,17,22,23,3,23,24,6,290,1013,9,1.6,0.0,9.1,19,84,5,28077
2020-05-06,22,22,12,17,17,5,17,19,8,233,1020,12,3.7,0.0,11.6,10,67,5,28077
2020-05-07,25,25,9,17,17,6,18,19,4,82,1021,6,0.0,0.0,11.6,8,63,5,28077
2020-05-08,21,21,13,17,17,4,18,20,11,246,1014,18,28.5,0.0,7.9,14,84,4,28077
2020-05-09,21,21,9,14,14,6,15,16,7,58,1022,11,0.0,0.0,11.6,7,66,5,28077
2020-05-10,23,23,9,16,16,6,17,18,5,247,1023,8,0.0,0.0,11.6,7,60,5,28077
2020-05-11,25,25,11,18,18,6,19,20,5,20,1023,8,0.0,0.0,11.6,9,62,6,28077
2020-05-12,27,27,11,18,18,6,19,21,7,139,1021,11,0.0,0.0,11.6,10,61,6,28077
2020-05-13,27,27,15,21,22,3,22,23,5,159,1019,9,3.7,0.0,6.7,17,82,5,28077
2020-05-14,26,26,17,21,22,4,22,23,9,151,1018,14,17.4,0.0,6.7,19,88,5,28077
2020-05-15,30,30,19,24,25,5,25,26,7,164,1016,12,12.7,0.0,10.4,20,83,6,28077
2020-05-16,29,29,19,23,24,3,24,25,7,165,1014,11,18.2,0.0,6.7,21,89,6,28077
2020-05-17,31,31,20,24,26,4,26,27,5,163,1014,8,8.9,0.0,10.4,21,85,6,28077
2020-05-18,26,26,18,21,22,6,22,23,7,317,1009,10,1.1,0.0,11.6,17,81,6,28077
2020-05-19,24,24,16,19,19,5,20,21,5,297,1010,8,4.9,0.0,6.8,17,87,5,28077
2020-05-20,28,28,16,21,22,5,22,23,4,143,1012,6,5.2,0.0,9.2,16,77,5,28077
2020-05-21,31,31,18,23,24,5,24,25,3,167,1013,4,8.2,0.0,8.5,19,82,5,28077
2020-05-22,32,32,20,26,27,4,27,27,6,194,1015,9,2.0,0.0,8.5,21,81,6,28077
2020-05-23,32,32,20,25,27,3,27,28,5,181,1015,8,3.2,0.0,9.9,21,80,6,28077
2020-05-24,32,32,20,26,29,5,29,28,5,141,1014,8,4.8,0.0,12.2,20,79,6,28077
2020-05-25,30,30,19,24,25,3,25,27,7,138,1012,11,11.5,0.0,9.9,20,82,6,28077
2020-05-26,27,27,19,22,23,5,23,23,5,120,1012,8,11.1,0.0,8.8,20,90,5,28077
2020-05-27,26,26,19,22,23,5,23,24,4,222,1012,7,11.6,0.0,8.8,20,86,5,28077
2020-05-28,29,29,17,23,25,4,25,25,5,242,1014,7,1.8,0.0,13.4,18,77,7,28077
2020-05-29,31,31,18,23,24,5,24,26,3,223,1016,5,2.7,0.0,12.2,19,78,6,28077
2020-05-30,30,30,18,23,24,4,24,26,5,27,1018,8,1.3,0.0,12.3,18,76,6,28077
2020-05-31,30,30,17,23,23,6,23,25,5,31,1019,8,0.0,0.0,14.4,16,67,7,28077
2020-06-01,30,30,18,23,24,6,24,25,5,82,1020,8,0.0,0.0,13.4,16,65,7,28077
2020-06-02,32,32,19,26,28,6,28,28,4,129,1018,7,1.2,0.0,13.4,19,73,7,28077
2020-06-03,31,31,20,25,27,4,27,26,4,262,1016,6,10.8,0.0,9.0,21,87,6,28077
2020-06-04,31,31,19,24,26,4,26,27,4,217,1013,7,3.4,0.0,12.3,21,82,6,28077
2020-06-05,33,33,21,26,30,4,30,29,3,209,1014,6,4.0,0.0,12.3,22,81,6,28077
2020-06-06,32,32,21,26,29,5,29,28,5,93,1012,8,6.3,0.0,9.1,21,80,6,28077
2020-06-07,26,26,22,24,26,5,26,25,13,71,1006,20,12.4,0.0,9.1,21,88,5,28077
2020-06-08,28,28,23,25,28,4,28,25,13,186,1001,22,67.6,0.0,9.1,24,94,6,28077
2020-06-09,32,32,22,27,30,5,30,29,9,198,1009,15,11.0,0.0,10.2,23,83,6,28077
2020-06-10,30,30,20,25,27,5,27,28,7,278,1014,10,0.6,0.0,11.2,20,75,6,28077
2020-06-11,29,29,17,22,23,6,23,24,7,13,1021,10,0.0,0.0,14.5,16,72,6,28077
2020-06-12,29,29,16,22,23,6,23,25,8,33,1021,12,0.0,0.0,14.5,15,65,7,28077
2020-06-13,31,31,17,24,25,6,25,26,6,45,1018,11,0.0,0.0,14.5,15,62,7,28077
2020-06-14,31,31,19,25,26,6,26,28,4,86,1019,7,0.0,0.0,14.5,18,69,7,28077
2020-06-15,33,33,18,25,26,6,26,28,4,236,1020,6,0.0,0.0,14.5,17,67,7,28077
2020-06-16,29,29,18,23,23,6,23,25,5,130,1020,7,0.0,0.0,14.5,15,65,7,28077
2020-06-17,29,29,17,23,23,6,23,26,3,56,1018,4,0.0,0.0,12.3,17,70,6,28077
2020-06-18,33,33,18,24,25,6,25,28,2,175,1016,3,0.0,0.0,14.5,17,65,7,28077
2020-06-19,34,34,19,26,27,6,27,29,2,184,1017,3,0.0,0.0,14.5,18,65,7,28077
2020-06-20,34,34,20,27,29,6,29,29,3,238,1017,5,0.1,0.0,14.5,19,66,6,28077
2020-06-21,33,33,20,27,30,5,30,29,5,230,1015,9,4.0,0.0,13.4,20,75,6,28077
2020-06-22,32,32,22,25,28,4,28,27,7,205,1015,13,16.3,0.0,9.1,22,84,6,28077
2020-06-23,32,32,21,25,28,4,28,28,5,248,1013,9,12.8,0.0,9.1,22,82,6,28077
2020-06-24,25,25,19,22,24,3,24,23,6,202,1014,10,13.6,0.0,9.1,21,95,5,28077
2020-06-25,26,26,20,23,24,5,24,24,4,199,1018,7,8.5,0.0,11.2,21,91,5,28077
2020-06-26,24,24,20,22,24,5,24,23,3,237,1021,6,1.9,0.0,11.2,21,92,5,28077
2020-06-27,32,32,22,26,30,4,30,29,6,195,1018,10,3.6,0.0,10.2,23,84,6,28077
2020-06-28,32,32,22,27,30,3,30,29,5,200,1015,9,1.6,0.0,11.2,23,83,6,28077
2020-06-29,33,33,23,27,31,3,31,29,5,204,1015,8,1.1,0.0,10.2,23,83,6,28077
2020-06-30,32,32,23,27,30,3,30,28,5,214,1014,7,0.4,0.0,10.2,24,85,6,28077
2020-07-01,33,33,22,27,31,4,31,29,5,252,1014,8,4.1,0.0,11.2,24,85,6,28077
2020-07-02,32,32,22,25,29,3,29,27,4,255,1014,7,15.2,0.0,9.9,24,89,6,28077
2020-07-03,33,33,22,28,32,5,32,30,3,316,1013,5,13.1,0.0,9.9,23,82,7,28077
2020-07-04,34,34,22,26,30,5,30,28,4,316,1011,7,23.5,0.0,7.0,23,86,6,28077
2020-07-05,32,32,21,26,30,5,30,29,2,175,1011,4,21.0,0.0,7.0,22,83,6,28077
2020-07-06,34,34,21,26,29,3,29,29,2,119,1012,5,23.0,0.0,9.3,23,85,6,28077
2020-07-07,28,28,21,24,27,3,27,26,4,271,1015,7,11.3,0.0,9.3,22,91,6,28077
2020-07-08,25,25,19,23,26,3,26,24,3,205,1014,6,8.1,0.0,9.3,23,94,5,28077
2020-07-09,33,33,23,27,31,4,31,29,6,263,1013,10,7.9,0.0,9.3,23,82,6,28077
2020-07-10,32,32,23,27,32,5,32,29,6,296,1015,9,7.7,0.0,8.2,24,87,6,28077
2020-07-11,35,35,24,28,31,4,31,31,3,140,1015,4,3.2,0.0,10.5,22,73,7,28077
2020-07-12,34,34,24,28,33,5,33,31,4,262,1012,7,10.5,0.0,7.0,25,83,7,28077
2020-07-13,35,35,23,28,31,4,31,31,4,129,1012,6,0.2,0.0,11.6,22,73,8,28077
2020-07-14,35,35,23,29,33,6,33,32,3,262,1014,4,0.4,0.0,10.5,23,74,7,28077
2020-07-15,34,34,24,28,32,5,32,30,3,250,1016,5,4.0,0.0,7.0,23,79,7,28077
2020-07-16,35,35,23,28,33,4,33,31,4,182,1017,7,1.7,0.0,9.3,23,77,7,28077
2020-07-17,33,33,21,27,30,4,30,29,4,106,1019,6,3.1,0.0,9.3,22,79,6,28077
2020-07-18,34,34,22,27,31,6,31,30,3,104,1017,5,0.4,0.0,10.4,22,72,7,28077
2020-07-19,34,34,22,28,31,6,31,30,4,91,1016,6,1.4,0.0,10.4,22,74,7,28077
2020-07-20,35,35,23,28,31,6,31,31,3,110,1015,5,0.5,0.0,11.6,22,73,8,28077
2020-07-21,34,34,22,28,31,3,31,30,4,120,1016,7,4.9,0.0,9.3,23,80,6,28077
2020-07-22,33,33,22,28,31,4,31,29,5,114,1016,8,2.0,0.0,9.3,23,80,6,28077
2020-07-23,31,31,22,26,30,4,30,28,6,95,1015,10,8.5,0.0,10.4,23,84,6,28077
2020-07-24,30,30,22,26,29,3,29,28,7,117,1015,12,14.2,0.0,7.0,23,86,6,28077
2020-07-25,30,30,21,25,28,3,28,27,6,131,1017,11,27.6,0.0,8.1,23,87,6,28077
2020-07-26,28,28,21,24,27,3,27,26,4,149,1018,7,5.4,0.0,9.3,22,89,6,28077
2020-07-27,26,26,21,23,25,4,25,23,3,143,1017,5,12.9,0.0,8.1,21,91,5,28077
2020-07-28,30,30,21,25,27,2,27,27,5,186,1015,8,10.3,0.0,9.2,22,87,6,28077
2020-07-29,31,31,21,26,29,3,29,28,5,248,1015,8,7.3,0.0,6.7,23,86,6,28077
2020-07-30,32,32,22,27,31,4,31,29,7,245,1015,11,1.1,0.0,9.2,23,81,6,28077
2020-07-31,33,33,24,27,30,4,30,29,8,237,1013,11,2.8,0.0,11.6,23,78,6,28077
2020-08-01,30,30,22,25,28,5,28,27,5,248,1013,8,8.7,0.0,9.1,22,85,6,28077
2020-08-02,32,32,21,26,29,5,29,28,2,101,1014,3,4.7,0.0,7.9,21,77,6,28077
2020-08-03,33,33,21,25,27,5,27,27,3,313,1014,5,1.1,0.0,10.4,20,75,6,28077
2020-08-04,31,31,21,26,27,6,27,28,5,316,1014,7,0.0,0.0,11.6,19,68,7,28077
2020-08-05,31,31,20,25,26,6,26,28,4,215,1015,7,0.1,0.0,11.6,19,69,6,28077
2020-08-06,32,32,19,26,27,6,27,27,4,231,1016,7,0.0,0.0,11.6,17,68,7,28077
2020-08-07,35,35,19,27,29,6,29,30,2,158,1017,4,0.0,0.0,11.6,18,64,7,28077
2020-08-08,37,37,21,28,31,6,31,31,1,258,1019,3,0.0,0.0,11.6,20,65,8,28077
2020-08-09,36,36,23,29,32,6,32,32,2,261,1019,4,0.1,0.0,9.1,21,67,7,28077
2020-08-10,35,35,23,28,32,5,32,30,3,246,1018,6,1.0,0.0,9.1,22,73,7,28077
2020-08-11,35,35,23,27,31,6,31,30,4,293,1015,7,3.2,0.0,10.4,22,74,6,28077
2020-08-12,36,36,23,27,31,4,31,30,3,186,1015,6,13.1,0.0,6.6,23,80,6,28077
2020-08-13,34,34,22,27,30,5,30,29,4,262,1014,7,13.4,0.0,6.6,23,81,6,28077
2020-08-14,31,31,22,26,30,5,30,28,5,270,1013,9,28.6,0.0,6.6,23,87,6,28077
2020-08-15,33,33,22,27,30,5,30,29,5,337,1013,7,4.4,0.0,11.6,22,79,7,28077
2020-08-16,34,34,22,29,32,4,32,30,4,343,1015,7,2.2,0.0,10.3,22,77,8,28077
2020-08-17,32,32,22,26,28,4,28,28,6,12,1015,9,0.6,0.0,11.6,21,75,7,28077
2020-08-18,34,34,21,27,29,6,29,29,3,116,1013,6,0.0,0.0,11.6,18,64,7,28077
2020-08-19,32,32,20,26,28,6,28,27,4,322,1011,7,1.1,0.0,7.8,19,71,6,28077
2020-08-20,31,31,19,24,26,5,26,27,4,39,1011,6,8.7,0.0,6.5,19,78,6,28077
2020-08-21,31,31,18,24,26,5,26,26,3,165,1011,6,14.7,0.0,6.5,19,82,6,28077
2020-08-22,32,32,18,25,26,5,26,27,3,244,1013,4,0.2,0.0,11.6,18,73,7,28077
2020-08-23,33,33,20,26,28,6,28,28,4,74,1015,6,0.1,0.0,11.6,19,73,7,28077
2020-08-24,28,28,21,24,27,2,27,26,6,87,1016,10,12.9,0.0,6.5,22,89,6,28077
2020-08-25,30,30,22,25,29,3,29,27,6,116,1014,10,16.4,0.0,6.5,24,90,6,28077
2020-08-26,33,33,23,28,31,4,31,30,8,118,1014,12,0.5,0.0,10.3,23,79,6,28077
2020-08-27,29,29,24,26,29,6,29,27,12,159,1011,20,2.3,0.0,6.5,23,84,6,28077
2020-08-28,31,31,23,26,30,4,30,28,8,212,1012,16,45.8,0.0,7.8,24,88,6,28077
2020-08-29,33,33,22,27,30,4,30,29,4,256,1012,7,1.6,0.0,9.0,23,83,6,28077
2020-08-30,32,32,22,26,30,4,30,29,4,251,1010,6,2.9,0.0,10.3,23,82,6,28077
2020-08-31,34,34,23,28,32,3,32,30,5,230,1011,9,6.1,0.0,6.4,23,82,7,28077
2020-09-01,34,34,23,27,31,4,31,29,6,204,1013,10,0.2,0.0,10.3,23,81,6,28077
2020-09-02,34,34,23,29,32,5,32,30,7,211,1014,10,0.0,0.0,11.6,22,76,8,28077
2020-09-03,33,33,22,27,30,4,30,29,4,240,1015,6,0.0,0.0,10.3,21,74,6,28077
2020-09-04,35,35,23,28,31,5,31,31,3,161,1018,5,0.6,0.0,11.6,21,72,8,28077
2020-09-05,33,33,23,28,30,6,30,29,5,47,1021,8,0.0,0.0,11.6,18,64,7,28077
2020-09-06,33,33,19,26,28,6,28,28,4,77,1019,7,0.0,0.0,11.6,15,56,7,28077
2020-09-07,33,33,19,26,27,6,27,28,3,109,1014,6,0.0,0.0,11.6,16,58,7,28077
2020-09-08,32,32,19,25,26,5,26,27,4,116,1013,7,8.0,0.0,9.0,20,76,6,28077
2020-09-09,32,32,21,26,28,4,28,28,5,93,1016,7,0.2,0.0,11.6,20,74,7,28077
2020-09-10,33,33,20,27,28,6,28,28,5,37,1018,8,0.0,0.0,11.6,19,68,7,28077
2020-09-11,30,30,22,25,29,5,29,27,5,45,1016,10,26.1,0.0,7.7,22,84,6,28077
2020-09-12,31,31,22,26,29,4,29,28,4,106,1012,7,32.8,0.0,6.3,23,87,6,28077
2020-09-13,32,32,22,27,30,4,30,29,6,74,1013,9,1.9,0.0,10.3,22,80,6,28077
2020-09-14,31,31,23,26,29,5,29,28,9,55,1014,14,10.3,0.0,7.6,22,81,6,28077
2020-09-15,30,30,22,25,28,6,28,27,10,57,1013,16,1.1,0.0,6.3,21,79,6,28077
2020-09-16,27,27,22,24,26,6,26,25,9,12,1010,14,0.2,0.0,6.3,20,77,6,28077
2020-09-17,31,31,18,24,26,6,26,26,7,238,1012,11,0.4,0.0,11.6,19,76,7,28077
2020-09-18,27,27,17,22,23,6,23,23,6,26,1015,10,0.0,0.0,11.6,15,70,6,28077
2020-09-19,27,27,18,21,22,6,22,23,7,71,1018,10,0.0,0.0,11.6,15,69,6,28077
2020-09-20,25,25,16,20,21,6,21,22,8,86,1019,13,0.0,0.0,11.6,15,71,5,28077
2020-09-21,22,22,17,19,19,3,20,20,9,107,1020,14,5.0,0.0,6.1,16,81,4,28077
2020-09-22,17,17,13,16,16,5,16,16,8,90,1019,13,22.2,0.0,6.0,16,95,4,28077
2020-09-23,24,24,17,20,20,5,21,21,7,108,1013,11,20.5,0.0,6.0,20,96,5,28077
2020-09-24,22,22,17,21,21,3,22,21,8,267,1009,13,16.7,0.0,6.0,20,95,5,28077
2020-09-25,23,23,17,20,20,5,21,22,3,120,1015,4,0.1,0.0,7.4,17,84,5,28077
2020-09-26,27,27,17,22,23,5,23,24,3,207,1015,5,0.2,0.0,11.6,17,76,5,28077
2020-09-27,29,29,18,24,25,5,25,25,4,222,1012,7,1.1,0.0,8.8,18,80,6,28077
2020-09-28,26,26,15,20,21,4,21,22,7,293,1012,12,10.6,0.0,6.0,18,90,5,28077
2020-09-29,22,22,14,17,17,6,18,19,7,339,1017,10,0.0,0.0,11.6,10,65,5,28077
2020-09-30,25,25,11,19,19,6,19,20,3,249,1019,5,0.0,0.0,11.6,10,65,6,28077
2020-10-01,26,26,13,20,20,6,20,21,6,342,1019,9,0.0,0.0,11.6,11,64,6,28077
2020-10-02,24,24,11,17,17,6,18,19,4,137,1021,8,0.0,0.0,11.6,7,57,5,28077
2020-10-03,24,24,9,16,16,6,18,18,3,81,1020,6,0.0,0.0,11.6,7,61,5,28077
2020-10-04,25,25,11,19,19,6,19,21,4,124,1020,7,0.0,0.0,11.6,9,61,6,28077
2020-10-05,25,25,12,19,19,4,20,20,5,30,1020,8,0.0,0.0,11.6,13,76,6,28077
2020-10-06,27,27,12,20,21,6,21,22,4,44,1018,7,0.0,0.0,11.6,13,70,6,28077
